"filename", "language", "TypeScript", "Vue", "XML", "SCSS", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/flights.d.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/orders.d.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/store.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/utils/message.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/utils/repository.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27, 133
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/corp-pay-approval/corpPayApproval.vue", "Vue", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 194
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flight-order-create/flightOrderCreate.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flight-order-details/flightOrderDetails.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/components/cabinInfo.vue", "Vue", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/flightDetails.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/flights.vue", "Vue", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 235
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 1, 24
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/vite.config.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 79
"Total", "-", 1286, 550, 2, 39, 146, 20, 86, 13, 9, 2397, 196, 208, 789, 5741
