Date : 2022-09-11 18:41:42
Directory : /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app
Total : 71 files,  4744 codes, 208 comments, 789 blanks, all 5741 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/http/request.spec.ts                   | TypeScript         |        221 |          2 |         24 |        247 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/store/flights/actions.spec.ts          | TypeScript         |         20 |          0 |          7 |         27 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/store/flights/mutations.spec.ts        | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/utils/repository.spec.ts               | TypeScript         |         89 |          2 |         10 |        101 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/views/components/cabinInfo.spec.ts     | TypeScript         |         31 |          0 |          5 |         36 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/utils/index.ts                              | TypeScript         |         12 |          0 |          2 |         14 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/clientManagement.d.ts                       | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/common.d.ts                                 | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/flights.d.ts                                | TypeScript         |         36 |          0 |          2 |         38 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/orders.d.ts                                 | TypeScript         |         35 |          0 |          4 |         39 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/store.d.ts                                  | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/utils/message.ts                                  | TypeScript         |         42 |          0 |          8 |         50 |
